DOI,Materials-1,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1149/1.1921134,CDC,,,h2so4,0.25,630,80,,1.5,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1000,125,,1.75,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1500,175,,2.5,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1400,160,,2.9,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,850,95,,1.25,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1800,138,,1.15,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1700,143,,1.25,,,,,,,,,
10.1149/1.1921134,CDC,,,h2so4,0.25,1100,120,,1.8,,,,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,20,35,0.11,,0.02,,1.02,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,73,,0.18,,0.07,,0.88,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,111,,0.19,,0.09,,0.9,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,156,,0.3,,0.13,,0.85,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,229,,0.44,,0.18,,0.86,,,,,,
10.1002/smll.200500327,MWCNT,,,teabf4,3.5,247,40,0.37,,0.18,,0.83,,,,,,
10.1007/s11431-006-2008-z,carbon nanorods,,,koh,0.9,1347,189.1,1.01,3,,,,,,,,,
10.1007/s11431-006-2008-z,carbon nanorods,,,koh,0.9,3310,333.9,,2,,,,,,,,,
10.1002/adma.200602184,carbon nanofiber,,,koh,0.9,310,120,0.17,0.54,0.15,,,3.5,4.9,0,,,
10.1002/adma.200602184,carbon nanofiber,,,koh,0.9,420,128,0.22,0.54,0.2,,,2.9,4.8,0,,,
10.1002/adma.200602184,carbon nanofiber,,,koh,0.9,550,140,0.34,0.59,0.26,,,0.9,4.5,0,,,
10.1021/ja7106146,,,,h2so4,1,2872,312,2.06,,,,,,,,,,
10.1002/anie.200702721,,,,koh,1,970,68.4,0.69,2.85,0.3,,,,,,,,
10.1039/b819202b,,,,h2so4,0.9,1140,304,,,,,,,,,,,
10.1039/c0jm00382d,porous carbon,,,koh,1,2273,168,2.74,4.47,,,,,,,,,
10.1021/ja910307x,porous carbon,,,h2so4,1.2,,300,,,,,3.75,,,,,,
10.1021/ja910307x,,,,h2so4,1.2,,200,,,,,3.6,,,,,,
10.1021/ja910307x,,,,h2so4,1.2,,220,,,,,3.4,,,,,,
10.1021/ja910307x,,,,h2so4,1.2,,225,,,,,3.25,,,,,,
10.1021/nn901825y,CDC,,,teabf4,2,2250,150,1.4,,,,2.45,,,,,,
10.1021/nn901825y,CDC,,,teabf4,2,2430,125,1.4,,,,2.26,,,,,,
10.1021/nn901825y,CDC,,,teabf4,2,2420,138,1.5,,,,2,,,,,,
10.1007/s11431-010-0017-4,CNT,,,liclo4,2.6,146.12,21.8,,,,,,,,,,,
10.1007/s11431-010-0017-4,,,,liclo4,2.6,159.74,60.4,,,,,,,,,,,
10.1002/aenm.201100114,porous carbon,,,net4bf4,2.7,1522,115,2.02,,,,,,,,,,
10.1002/aenm.201100114,AC,,,net4bf4,2.7,2549,106,,,,,,,,,,,
10.1002/aenm.201100114,CNT,,,net4bf4,2.7,156,35,,,,,,,,,,,
10.1039/c1ee01676h,carbon sphere,graphene,,koh,1,,198,,,,,,,,,,,
10.1039/c1ee01676h,graphene,,,koh,1,,115,,,,,,,,,,,
10.1039/c1ee01676h,carbon sphere,,,koh,1,,38,,,,,,,,,,,
10.1002/chem.201101679,carbon,,,h2so4,0.9,415,120,,,,,0.19,,,,,,
10.1021/jp207135g,porous carbon,,,h2so4,0.9,710,185,,0.71,,,,0,5,0,,,
10.1021/jp207135g,porous carbon,,,h2so4,0.9,698,360,,0.82,,,,0,12,0,,,
10.1021/jp207135g,porous carbon,,,h2so4,0.9,565,341,,0.76,,,,0,12,0,,,
10.1021/jp207135g,AC,,,h2so4,0.9,886,214,,,,,,,,,,,
10.1039/c1ee01094h,graphene,,,koh,0.9,801,218,0.9,3.7,,,,0,10.1,0,,,
10.1039/c1ee01094h,porous carbon,graphene,,koh,0.9,1496,171,3.36,1.4,,,,0,3.2,0,,,
10.1039/c1ee01094h,porous carbon,graphene,,koh,0.9,1390,136,3.28,1.4,,,,1.2,1.6,0,,,
10.1039/c1ee01094h,graphene,,,koh,0.9,787,95,,,,,,0,3.5,0,,,
10.1021/cm103388y,porous carbon,,,nacl,0.9,429,30,,,,,,,,,,,
10.1021/cm103388y,porous carbon,,,nacl,0.9,,25,,,,,,,,,,,
10.1021/cm103388y,porous carbon,,,h2so4,0.9,429,50,,,,,,,,,,,
10.1021/cm103388y,porous carbon,,,h2so4,0.9,,39,,,,,,,,,,,
10.1021/jp2047618,porous carbon,,,nacl,1.4,846.5,18.31,0.76,7.57,,,,,,,,,
10.1021/jp2047618,porous carbon,,,nacl,1.4,602.6,5.31,0.35,3.42,,,,,,,,,
10.1021/jp2047618,porous carbon,,,nacl,1.4,492.9,8.51,0.092,3.25,,,,,,,,,
10.1039/c0jm03199b,graphene,CNT,,h2so4,1,538.9,326.5,,,,,,,,,,,
10.1039/c0jm03199b,graphene,,,h2so4,1,138.2,83,,,,,,,,,,,
10.1126/science.1200770,graphene,,,bmimbf4,3.5,3100,165,2.14,,,,1.19,,,,,,
10.1126/science.1200770,graphene,,,teabf4,2.7,3100,150,2.14,,,,1.19,,,,,,
10.1126/science.1200770,graphene,,,emitfsi,3.5,3100,200,2.14,,,,1.19,,,,,,
10.1126/science.1200770,graphene,,,bmimbf4,3.5,2675,156,,,,,,,,,,,
10.1002/aenm.201100654,porous carbon ,,,koh,1,883,289,,7,,,,0,3.8,0,,,
10.1007/s10008-011-1487-4,carbon xerogel,CNT,,koh,0.9,2158,176,0.68,1.9,,711,,,,,,,
10.1007/s10008-012-1779-3,AC,,,koh,0.8,1759,218,0.93,2.7,0.61,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,koh,0.8,1452,127,0.81,4.63,0.56,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,lipf6,2.4,2218,124,1.15,2.25,0.87,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,lipf6,2.4,1759,108,0.93,2.7,0.61,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,lipf6,2.4,1622,105,0.86,2.7,0.49,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,lipf6,2.4,1452,147,0.81,4.63,0.56,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,et3menbf4,2.4,2218,112,1.15,2.25,0.87,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,et3menbf4,2.4,1759,108,0.93,2.7,0.61,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,et3menbf4,2.4,1622,100,0.86,2.7,0.49,,,,,,,,
10.1007/s10008-012-1779-3,AC,,,et3menbf4,2.4,1452,120,0.81,4.63,0.56,,,,,,,,
10.1021/nl3027372,porous carbon,,,lipf6,2.5,810,30,,,,,1.22,,,,,,
10.1021/nl3027372,porous carbon,CNT,,lipf6,2.5,1340,45,,,,,1.08,,,,,,
10.1039/c2jm15645h,AC,CNT,,h2so4,1,3160,295,1.58,0.8,,,,,,,,,
10.1039/c2jm15645h,AC,,,h2so4,1,3110,280,1.68,0.7,,,,,,,,,
10.1039/c2jm15645h,AC,,,h2so4,1,2930,305,1.7,0.75,,,,,,,,,
10.1002/cssc.201100511,AC,,,Et4NBF4,2.5,830,170,0.32,0.8,,820,,,,,,,
10.1002/adfm.201102573,porous carbon,,,teabf4,4,2025,120,1.12,,,,,,,,,,
10.1002/adfm.201102573,porous carbon,,,teabf4,4,1924,105,1.09,,,,,,,,,,
10.1002/adfm.201102573,porous carbon,,,teabf4,4,1405,146,0.74,,,,,,,,,,
10.1002/anie.201104334,CNT,carbon,,koh,0.6,1080,125,,0.7,,,1.25,,,,,,
10.1002/anie.201104334,CNT,,,koh,0.6,1429,200,,1.6,,,1.075,,,,,,
10.1021/jp3031557,porous carbon,,,hclo4,0.7,,200,,6,,,,6.71,12.06,0,,,
10.1039/c2ra20845h,porous carbon,graphene,,koh,1,545.8,242,0.56,4,,,,0,4.2,0,,,
10.1039/c2ra20845h,porous carbon,graphene,,koh,1,582.3,190,0.59,3.9,,,,,,,,,
10.1039/c2ra20845h,porous carbon,graphene,,koh,1,485.8,170,0.5,3.9,,,,,,,,,
10.1039/c2ra20845h,porous carbon,graphene,,koh,1,411.7,159,0.45,3.9,,,,,,,,,
10.1039/c2ra20845h,porous carbon,graphene,,koh,1,698.6,153,0.61,3.9,,,,,,,,,
10.1039/c2ra20845h,porous carbon,graphene,,koh,1,507.5,173,0.53,3.9,,,,,,,,,
10.1039/c2ra20845h,graphene,,,koh,1,321.2,95,0.23,,,,,,,,,,
10.1039/c2ra20845h,porous carbon,,,koh,1,744.5,136,0.65,3.5,,,,,,,,,
10.1002/adma.201201948,NB-doped graphene,,,h2so4,0.8,249,239,,3.2,,,1.19,3,,0.6,,,
10.1002/adma.201201948,B-doped graphene,,,h2so4,0.8,,228,,,,,1.12,,,0.6,,,
10.1002/adma.201201948,N-doped graphene,,,h2so4,0.8,,190,,,,,1.14,3,,,,,
10.1002/adma.201201948,graphene,,,h2so4,0.8,,181,,,,,1.05,0,,0,,,
10.1002/adma.201103872,porous carbon,,,h2so4,0.9,2053,216,,6,,,,,,,,,
10.1002/adma.201103872,porous carbon,,,h2so4,0.9,1854,251,,7,,,,,,,,,
10.1002/adma.201103872,porous carbon,,,h2so4,0.9,1633,245,,10,,,,,,,,,
10.1002/adma.201103872,porous carbon,,,h2so4,0.9,312,42,,,,,,,,,,,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,854,131,1,1.2,0.12,269,1,6.7,4.1,0,0.7,5.6,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,1277,154,1.28,1.2,0.34,757,,7.3,7.2,0,0.7,,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,870,,0.52,1.2,0.33,716,,6.8,4.3,0,1,1.4,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,643,104,0.33,1.1,0.28,601,,6.6,3.8,0,0.8,2,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,588,112,0.34,0.75,0.24,520,,5.7,5.4,0,0.8,2.3,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,706,,0.33,1.2,0.32,686,,6.5,10.5,0,2.4,1.1,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,386,,0.61,,0.04,99,,7.1,2.8,0,0.4,0.8,
10.1039/c3cc44175j,porous carbon,,,koh,0.8,196,,0.6,,0.01,34,,2.6,1.6,0,0.3,0.7,
10.1002/adma.201301243,graphene,,,bmimbf4,3.5,256,137,1.15,,,,,,,,,,
10.1002/adma.201301243,graphene,,,emimtfsi,3.5,256,154,1.15,,,,,,,,,,
10.1039/c3ta10501f,porous carbon,,4.2-16.8-6c,koh,1,1330,193,1.35,4.05,0.46,981,,,,,,,
10.1039/c3ta10501f,porous carbon,,7-14-6c,koh,1,1234,185,0.93,3.01,0.45,1052,,,,,,,
10.1039/c3ta10501f,porous carbon,,9-12-6c,koh,1,1157,182,0.69,2.39,0.43,1050,,,,,,,
10.1039/c3ta10501f,porous carbon,,14-7-6c,koh,1,761,,0.34,1.78,0.29,736,,,,,,,
10.1039/c3ta10501f,porous carbon,,7-14-0c,koh,1,348,114,0.58,6.61,0.1,215,,,,,,,
10.1039/c3ta10501f,porous carbon,,4.2-16.8-6m,koh,1,787,177,1.14,5.81,0.24,533,,,,,,,
10.1039/c3ta10501f,porous carbon,,7-14-6m,koh,1,576,,0.49,3.41,0.2,467,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,1330,112,1.35,4.05,0.46,981,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,1234,90,0.93,3.01,0.45,1052,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,1157,45,0.69,2.39,0.43,1050,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,761,,0.34,1.78,0.29,736,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,348,15,0.58,6.61,0.1,215,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,787,67,1.14,5.81,0.24,533,,,,,,,
10.1039/c3ta10501f,porous carbon,,,et4NBF4,2.7,576,,0.49,3.41,0.2,467,,,,,,,
10.1002/adma.201302788,graphene,CNT,,teabf4,3,,110,,,,,,4.85,7.52,0,,,
10.1021/nn402077v,graphene,,s,emimtfsi,3.5,650,,,,,,,0,17.38,0,2.95,,
10.1021/nn402077v,graphene,,as,emimtfsi,3.5,3290,173,,1,,,,0,2.84,0,,,
10.1021/nn4040734,graphene,,go,10.1039/c3ta11051f,2,,,,,,,,0,33.4,0,,,
10.1021/nn4040734,graphene,,mr-go,lipf6,2,,,,,,,,35,8.8,0,,,
10.1021/nn4040734,graphene,,rgo,lipf6,2,466,110,0.6,7,,,,2.31,15.69,0,,,
10.1021/nn4040734,graphene,,cmr-go,lipf6,2,1040,210,2.6,10,,,,5.24,8,0,,,
10.1021/nn4040734,graphene,CNT,,lipf6,2,233,33,0.9,,,,,,,,,,
10.1021/nn4040734,CNT,,,lipf6,2,176,15,0.7,,,,,,,,,,
10.1039/c2cc37396c,graphene,,go,h3po4,1,,,,,,,0.76,,,,,,
10.1039/c2cc37396c,graphene,,rgo,h3po4,1,,,,,,,1.05,,,,,,
10.1039/c3ta11051f,porous carbon,,pnsc,et4NBF4,2.7,2653,210,1.73,1.2,,579,,,,,,,
10.1039/c3ta11051f,porous carbon,,ac,et4NBF4,2.7,2269,114,1.15,0.7,,752,,,,,,,
10.1039/c3ta12037f,graphene,CNT,,h2so4,1,33.1,252.4,,,,,,,,,,,
10.1039/c3ta12037f,CNT,,,h2so4,1,17.6,39.7,,,,,,,,,,,
10.1021/am402162b,porous carbon,,,h2so4,0.8,673.43,325.5,0.36,2.13,0.22,436.3,,,,,,,
10.1021/am402162b,porous carbon,,,h2so4,0.8,1040.31,425.8,0.61,2.35,0.29,586.8,,,,,,,
10.1021/am402162b,porous carbon,,,h2so4,0.8,593.82,394,0.37,2.49,0.2,414.47,,,,,,,
10.1039/c3ta10998d,AC,,,h2so4,0.8,381.64,528,,,,,,,,,,,
10.1039/c3ta10998d,AC,,,h2so4,0.8,683.26,587,,,,,,,,,,,
10.1039/c3ta10998d,AC,,,h2so4,0.8,559.11,420,,,,,,0,8.43,0,,,
10.1021/sc400092g,AC,,,h2so4,1,1386,155,0.904,0.7,0.441,,,0,7.1,0,1,,
10.1021/sc400092g,AC,,,h2so4,1,1615,175,1.237,0.5,0.545,,,0,11.3,0,0.3,,
10.1021/sc400092g,AC,,,h2so4,1,1766,210,1.527,0.7,0.537,,,0,13.5,0,0,,
10.1021/sc400092g,AC,graphene,,h2so4,1,775,155,0.54,0.5,0.271,,,0,8.5,0,1.7,,
10.1021/sc400092g,AC,graphene,,h2so4,1,1231,185,1.437,0.7,0.269,,,0,9.2,0,1.7,,
10.1021/sc400092g,AC,graphene,,h2so4,1,1315,240,0.886,0.5,0.435,,,0,11.4,0,0,,
10.1021/sc400092g,AC,graphene,,h2so4,1,783,150,0.608,0.7,0.244,,,0,10.7,0,0.9,,
10.1021/sc400092g,AC,graphene,,h2so4,1,1083,190,0.87,0.7,0.317,,,0,11.7,0,0.8,,
10.1021/sc400092g,AC,graphene,,h2so4,1,1162,210,0.868,0.7,0.369,,,0,11.3,0,0,,
10.1021/am4028235,graphene,,,h2so4,0.8,,,,,,,1.25,,,,,,
10.1021/am4028235,graphene,,gns,h2so4,0.8,682,100,0.72,4,,,1.62,0,10.75,0,,,
10.1021/am4028235,graphene,,agns,h2so4,0.8,1383,160,1.2,1,,,1.3,0,9,0,,,
10.5796/electrochemistry.81.804,porous carbon,,,teabf4,2,754,38,0.4,,0.147,,,0,0.9,0,,,
10.5796/electrochemistry.81.804,porous carbon,,,teabf4,2,364,20,0.195,,0.047,,,0,4.2,0,,,
10.1007/s10008-013-2025-3,porous carbon,,,h2so4,1,1180,241,1.56,7,,,0.9,,,,,,
10.1021/nn3015882,graphene,CNT,,koh,0.8,,104,,,,,0.33,,,,,,
10.1149/2.016306jes,porous carbon,,,koh,0.7,592,71,0.94,,,,,,,,,,
10.1149/2.016306jes,porous carbon,,,koh,0.7,996,116,1.1,3.9,,,,,,,,,
10.1149/2.016306jes,porous carbon,,,koh,0.7,1097,124,1.25,3.9,,,,,,,,,
10.1149/2.016306jes,porous carbon,,,koh,0.7,1269,147,1.25,3.9,,,,,,,,,
10.1039/c3ta12722b,porous carbon,,,na2so4,1,1130,132,2.188,3,,,1.18,,,,,,
10.1002/adfm.201201643,N-doped carbon,,,koh,1.2,95.6,,0.224,,,0,,3.73,11.4,0,,,
10.1002/adfm.201201643,N-doped carbon,,,koh,1.2,985,,0.986,,,515,,4.66,7.2,0,,,
10.1002/adfm.201201643,N-doped carbon,,,koh,1.2,1578,310,1.092,,,1133,,0.68,16.4,0,,,
10.1002/adfm.201201643,N-doped carbon,,,h2so4,1,1578,305,1.092,,,1133,,0.68,16.4,0,,,
10.1039/c3ta15245f,porous carbon,,cns,h2so4,1,345.8,210,0.476,,,,,,,,,,
10.1039/c3ta15245f,porous carbon,,cnt,h2so4,1,379.9,227,0.513,,,,1.15,1.53,3.1,0,,,
10.1039/c3ta15245f,porous carbon,,acnp,h2so4,1,1332.4,85,0.77,,,955,,,,,,,
10.1039/c3ta15245f,porous carbon,,acns,h2so4,1,1957,315,1.5,,,687.3,,,,,,,
10.1039/c3ta15245f,porous carbon,,acnt,h2so4,1,2005.9,319,1.6,0.55,,1104.3,1.12,0.1,6.27,0,,,
10.1039/c3ta15245f,porous carbon,,acnp,emimbf4,3.5,1332.4,83.5,0.77,,,955,,,,,,,
10.1039/c3ta15245f,porous carbon,,acns,emimbf4,3.5,1957,110,1.5,,,687.3,,,,,,,
10.1039/c3ta15245f,porous carbon,,acnt,emimbf4,3.5,2005.9,140,1.6,0.55,,1104.3,1.12,0.1,6.27,0,,,
10.1039/c4ta03490b,porous carbon,,,koh,1,1427.7,378.5,5.91,0.568,0.223,510.4,,3.73,4.07,0,,,
10.1039/c4ta03490b,porous carbon,,,koh,1,1036.6,263.4,4.76,0.563,0.12,268.8,,1.8,4.37,0,,,
10.1021/jp501742x,N-doped porous carbon,,,koh,1,3034.8,189,,1.17,,,3.255,5.08,11.91,0,,,
10.1021/jp501742x,N-doped porous carbon,,,koh,1,3384.3,219,,1.17,,,4.182,5.67,11.64,0,,,
10.1021/jp501742x,N-doped porous carbon,,,koh,1,3124.4,270,,1.17,,,2.739,2.34,3.93,0,,,
10.1021/jp501742x,N-doped porous carbon,,,koh,1,3336.7,247,,1.17,,,3.412,0.63,3.53,0,,,
10.1039/c4ta00936c,graphene,,,koh,1,343,7.86,1.6,0.62,0.14,,1.38,0,1.54,0,,,
10.1039/c4ta00936c,B-doped graphene,,,koh,1,301,19.9,1.5,0.62,0.12,,1.25,0,3.67,2.56,,,
10.1039/c4ta00936c,N-doped graphene,,,koh,1,342,22.2,1.59,0.62,0.14,,1.22,0.54,1.8,0,,,
10.1039/c4ta00936c,NB-doped graphene,,,koh,1,341,29.7,1.34,0.62,0.14,,1.03,1.02,2.85,2.39,,,
10.1039/c4ta00936c,graphene,,,koh,1,195,,0.66,0.62,0.08,,0.99,0,2.94,0,,,
10.1039/c4ta00936c,B-doped graphene,,,koh,1,121,,0.39,0.62,0.05,,0.89,0,2.71,1.74,,,
10.1039/c4ta00936c,N-doped graphene,,,koh,1,222,,0.81,0.62,0.09,,1.11,0.36,2.08,0,,,
10.1039/c4ta00936c,NB-doped graphene,,,koh,1,168,,0.6,0.62,0.06,,1.07,0.79,1,1.98,,,
10.1039/c4ta00936c,graphene,,,h2so4,1,343,2.59,1.6,0.62,0.14,,1.38,0,1.54,0,,,
10.1039/c4ta00936c,B-doped graphene,,,h2so4,1,301,34.6,1.5,0.62,0.12,,1.25,0,3.67,2.56,,,
10.1039/c4ta00936c,N-doped graphene,,,h2so4,1,342,10.6,1.59,0.62,0.14,,1.22,0.54,1.8,0,,,
10.1039/c4ta00936c,NB-doped graphene,,,h2so4,1,341,29.6,1.34,0.62,0.14,,1.03,1.02,2.85,2.39,,,
10.1002/smll.201401550,nanofiber,,,koh,1,,180,,,,,0.93,,,,,,
10.1002/smll.201401550,nanofiber,,,koh,1,,225,,,,,0.92,,,,,,
10.1002/smll.201401550,nanofiber,,,koh,1,659,325,,0.58,,,0.93,3.01,9.01,0,,,
10.1002/smll.201401550,nanofiber,,,koh,1,,175,,,,,0.95,,,,,,
10.1039/c3ra46037a,AC,,,koh,0.9,552,140,0.38,3,0.13,,2.64,,,,,,
10.1039/c3ra46037a,AC,,,koh,0.9,1616,173,0.86,2.1,0.38,,4.54,,,,,,
10.1039/c3ra46037a,AC,,,koh,0.9,2490,283,1.7,2.5,0.43,,0.55,,,,,,
10.1039/c4ta00538d,porous carbon,,,koh,1,803,150,5.5,,,,,0,5.68,0,,,
10.1039/c4ta00538d,graphene,,,koh,1,406,275,0.2,4.3,,,,0,30.74,0,,,
10.1039/c4ta00538d,porous carbon,graphene,,koh,1,460,324,0.36,7.3,,,,0,11.82,0,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,477,80,0.23,1.96,,412,1.01,,,,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,1292,,0.56,1.73,,1193,,,,,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,1734,220,0.82,1.87,,1511,,,,,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,2322,,1.24,2.14,,1933,,,,,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,2753,307,1.54,2.23,,2131,1.12,,,,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,613,,0.29,1.93,,503,,,,,,,
10.1039/c4ta02167c,3D porous carbon,,,koh,1,2086,250,1.1,2.1,,1635,,,,,,,
10.1002/chem.201402897,3D carbon,graphene,rgo,koh,1,178,126,2.86,,0.04,76,1.69,,,,,,
10.1002/chem.201402897,3D carbon,graphene,rdc,koh,1,1288,241,0.82,2.6,0.36,673,1.69,,,,,,
10.1002/chem.201402897,3D carbon,graphene,grdc,koh,1,2034,275,1.78,3.5,0.28,514,1.93,,,,,,
10.1002/chem.201402897,3D carbon,,,emimbf4,3,178,58,2.86,,0.04,76,1.69,,,,,,
10.1002/chem.201402897,3D carbon,,,emimbf4,3,1288,100,0.82,2.6,0.36,673,1.69,,,,,,
10.1002/chem.201402897,3D carbon,,,emimbf4,3,2034,151.7,1.78,3.5,0.28,514,1.93,,,,,,
10.1039/c4cp00550c,porous carbon,,paf,koh,1.2,5340,,2.43,1.4,1.44,,,,,,,,
10.1039/c4cp00550c,porous carbon,,n2paf,koh,1.2,880,146,0.44,0.6,0.3,,,0.2,14.2,1.02,,,
10.1039/c4cp00550c,porous carbon,,co2paf,koh,1.2,1513,159,0.8,0.64,0.46,,,0.2,14.26,1.02,,,
10.1039/c4cp00550c,porous carbon,,napaf,koh,1.2,1916,190,1.36,0.93,0.39,,,0.2,12.9,1.02,,,
10.1039/c4cp00550c,porous carbon,,kpaf,koh,1.2,2926,280,1.45,0.79,1.14,,,0.2,7.67,1.02,,,
10.1039/c4cp00550c,porous carbon,,charcoal,koh,1.2,836,80,0.5,0.67,0.27,,,,,,,,
10.1039/c4cp00550c,porous carbon,,kpaf,teabf4,2,2926,142,1.45,0.79,1.14,,,0.2,7.67,1.02,,,
10.1039/c4cp00550c,porous carbon,,kpaf,emimbf4,2,2926,156,1.45,0.79,1.14,,,0.2,7.67,1.02,,,
10.1039/c4cp00550c,porous carbon,,kpaf,bmimbf4,2,2926,167,1.45,0.79,1.14,,,0.2,7.67,1.02,,,
10.1039/c4cp00550c,porous carbon,,kpaf,teabf4,2,2926,125,1.45,0.79,1.14,,,0.2,7.67,1.02,,,
10.1039/c4cp00550c,porous carbon,,kpaf,emimtfsi,2,2926,203,1.45,0.79,1.14,,,0.2,7.67,1.02,,,
10.1039/c4cp00550c,porous carbon,,600,koh,1.2,2325,203,1.1,,0.88,,,,,,,,
10.1039/c4cp00550c,porous carbon,,800,koh,1.2,2857,240,1.44,,1.11,,,,,,,,
10.1039/c3ee43979h,N-doped carbon,,hfc,koh,1,17.8,,,,,2.2,1,8.4,9.5,0,,,
10.1039/c3ee43979h,N-doped carbon,,hfav1,koh,1,521,273,0.38,,,459.1,1,7.3,10.7,0,,,
10.1039/c3ee43979h,N-doped carbon,,2,koh,1,1217.1,556,0.46,,,1073.5,1,6.3,15.2,0,,,
10.1039/c3ee43979h,N-doped carbon,,3,koh,1,1405.6,420,0.73,,,1211.3,1,4.2,13.6,0,,,
10.1039/c3ee43979h,AC,,ac,koh,1,1840.3,180,1.17,,,1186.7,1,0,4.5,0,,,
10.1039/c3ee43979h,N-doped carbon,,,h2so4,1,521,227,0.38,,,459.1,1,7.3,10.7,0,,,
10.1039/c3ee43979h,N-doped carbon,,,h2so4,1,1217.1,525,0.46,,,1073.5,1,6.3,15.2,0,,,
10.1039/c3ee43979h,N-doped carbon,,,h2so4,1,1405.6,409,0.73,,,1211.3,1,4.2,13.6,0,,,
10.1039/c3ee43979h,AC,,,h2so4,1,1840.3,182,1.17,,,1186.7,1,0,4.5,0,,,
10.1039/c4ra08519a,GO,,go,koh,1,45.2,,0.7,,,,0.64,0,21.74,0,,,
10.1039/c4ra08519a,rgo,,rgo,koh,1,305.1,89,2.5,,,,,0,4.81,0,,,
10.1039/c4ra08519a,porous graphene,,crgo-10,koh,1,124.5,112,1.1,,,,0.81,0,10.1,0,,,
10.1039/c4ra08519a,porous graphene,,30,koh,1,427.3,143,2.8,,,,1.12,0,8.19,0,,,
10.1039/c4ra08519a,porous graphene,,60,koh,1,1218.5,291,5.3,,,,1.73,0,3.95,0,,,
10.1007/s10854-013-1621-4,porous carbon,,600,koh,1,686.8,111,0.91,5.3,0.25,,,,,0,,,
10.1007/s10854-013-1621-4,porous carbon,,700,koh,1,1076.9,175,1.46,5.4,0.41,,,,,,,,
10.1007/s10854-013-1621-4,porous carbon,,800,koh,1,363,86,0.73,8.1,0.12,,,,,,,,
10.1007/s10854-013-1621-4,porous carbon,,900,koh,1,521,91,0.74,5.7,0.19,,,,,,,,
10.1021/am502604u,graphene,CNT,,koh,0.9,263,162.3,0.28,4.7,,,1.03,,,,,,
10.1002/elan.201300161,S-doped porous carbon,,,h2so4,1,700,138,0.473,0.211,0.161,,,0,10.7,0,2.9,,
10.1002/elan.201300161,S-doped porous carbon,graphene,,h2so4,1,755,178,0.587,0.271,0.21,,,0,10,0,2.6,,
10.1002/elan.201300161,S-doped porous carbon,graphene,,h2so4,1,831,144,0.589,0.283,0.217,,,0,11.2,0,3.1,,
10.1002/elan.201300161,S-doped porous carbon,graphene,,h2so4,1,847,157,0.605,0.307,0.237,,,0,8.9,0,2.6,,
10.1021/sc500069h,CNT,,,h2so4,0.8,272,20,0.68,,0.05,,,0,,,,,
10.1021/sc500069h,N-doped carbon,CNT,,h2so4,0.8,200,50,0.45,,0.04,,,1.8,,,,,
10.1021/sc500069h,N-doped carbon,CNT,,h2so4,0.8,172,56,0.45,,0.03,,,2.5,,,,,
